DEBUG    | 2026-04-06 01:37:24,925 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429860,"pa...r_index":0,"cars":[]}}}' [6145 bytes]
DEBUG    | 2026-04-06 01:37:24,945 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429861,"pa...r_index":0,"cars":[]}}}' [6140 bytes]
DEBUG    | 2026-04-06 01:37:24,965 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429862,"pa...r_index":0,"cars":[]}}}' [6143 bytes]
DEBUG    | 2026-04-06 01:37:24,984 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429863,"pa...r_index":0,"cars":[]}}}' [6153 bytes]
DEBUG    | 2026-04-06 01:37:25,005 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429864,"pa...r_index":0,"cars":[]}}}' [6134 bytes]
DEBUG    | 2026-04-06 01:37:25,024 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429865,"pa...r_index":0,"cars":[]}}}' [6146 bytes]
DEBUG    | 2026-04-06 01:37:25,043 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429866,"pa...r_index":0,"cars":[]}}}' [6148 bytes]
DEBUG    | 2026-04-06 01:37:25,063 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429867,"pa...r_index":0,"cars":[]}}}' [6141 bytes]
DEBUG    | 2026-04-06 01:37:25,083 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429868,"pa...r_index":0,"cars":[]}}}' [6137 bytes]
DEBUG    | 2026-04-06 01:37:25,103 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429869,"pa...r_index":0,"cars":[]}}}' [6135 bytes]
DEBUG    | 2026-04-06 01:37:25,124 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429870,"pa...r_index":0,"cars":[]}}}' [6142 bytes]
DEBUG    | 2026-04-06 01:37:25,143 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429871,"pa...r_index":0,"cars":[]}}}' [6145 bytes]
DEBUG    | 2026-04-06 01:37:25,163 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429872,"pa...r_index":0,"cars":[]}}}' [6154 bytes]
DEBUG    | 2026-04-06 01:37:25,182 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429873,"pa...r_index":0,"cars":[]}}}' [6133 bytes]
DEBUG    | 2026-04-06 01:37:25,202 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429874,"pa...r_index":0,"cars":[]}}}' [6159 bytes]
DEBUG    | 2026-04-06 01:37:25,222 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429875,"pa...r_index":0,"cars":[]}}}' [6147 bytes]
DEBUG    | 2026-04-06 01:37:25,242 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429876,"pa...r_index":0,"cars":[]}}}' [6144 bytes]
DEBUG    | 2026-04-06 01:37:25,262 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429877,"pa...r_index":0,"cars":[]}}}' [6152 bytes]
DEBUG    | 2026-04-06 01:37:25,281 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429878,"pa...r_index":0,"cars":[]}}}' [6146 bytes]
DEBUG    | 2026-04-06 01:37:25,301 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429879,"pa...r_index":0,"cars":[]}}}' [6149 bytes]
